Date,Open,High,Low,Close,Adj Close,Volume
2013-12-12,178.639999,178.860001,177.759995,178.130005,152.551270,115565000
2013-12-13,178.500000,178.660004,177.770004,178.110001,152.534134,107808000
2013-12-16,178.949997,179.809998,178.899994,179.220001,153.484756,96195000
2013-12-17,179.380005,179.410004,178.250000,178.649994,152.996658,89886000
2013-12-18,178.919998,181.729996,177.320007,181.699997,155.608627,234906000
2013-12-19,181.179993,181.699997,180.710007,181.490005,155.428833,136531200
2013-12-20,180.690002,181.990005,180.570007,181.559998,156.332901,197087000
2013-12-23,182.449997,182.639999,182.070007,182.529999,157.168121,85598000
2013-12-24,182.539993,183.009995,182.529999,182.929993,157.512543,45368800
2013-12-26,183.339996,183.960007,183.320007,183.860001,158.313354,63365000
2013-12-27,184.100006,184.179993,183.660004,183.850006,158.304733,61814000
2013-12-30,183.869995,184.020004,183.580002,183.820007,158.278870,56857000
2013-12-31,184.070007,184.690002,183.929993,184.690002,159.028061,86119900
2014-01-02,183.979996,184.070007,182.479996,182.919998,157.503937,119636900
2014-01-03,183.229996,183.600006,182.630005,182.889999,157.478134,81390600
2014-01-06,183.490005,183.559998,182.080002,182.360001,157.021713,108028200
2014-01-07,183.089996,183.789993,182.949997,183.479996,157.986099,86144200
2014-01-08,183.449997,183.830002,182.889999,183.520004,158.020569,96582300
2014-01-09,184.110001,184.130005,182.800003,183.639999,158.123932,90683400
2014-01-10,183.949997,184.220001,183.009995,184.139999,158.554474,102026400
2014-01-13,183.669998,184.179993,181.339996,181.690002,156.444855,149892000
2014-01-14,182.289993,183.770004,181.949997,183.669998,158.149719,105016100
2014-01-15,184.100006,184.940002,183.710007,184.660004,159.002213,98525800
2014-01-16,184.279999,184.660004,183.830002,184.419998,158.795486,72290600
2014-01-17,184.100006,184.449997,183.320007,183.639999,158.123932,107848700
2014-01-21,184.699997,184.770004,183.050003,184.179993,158.588898,88621200
2014-01-22,184.490005,184.570007,183.910004,184.300003,158.692215,61270900
2014-01-23,183.369995,183.399994,181.820007,182.789993,157.392029,132496900
2014-01-24,181.600006,181.660004,178.830002,178.889999,154.033890,208677100
2014-01-27,179.059998,179.520004,177.119995,178.009995,153.276154,180843100
2014-01-28,178.139999,179.300003,178.119995,179.070007,154.188934,110463200
2014-01-29,177.580002,178.550003,176.880005,177.350006,152.707886,216597300
2014-01-30,178.830002,179.809998,178.259995,179.229996,154.326645,118938100
2014-01-31,177.009995,179.289993,176.919998,178.179993,153.422531,194677900
2014-02-03,177.970001,178.369995,173.830002,174.169998,149.969711,254837100
2014-02-04,174.949997,175.839996,174.110001,175.389999,151.020233,165012400
2014-02-05,174.779999,175.559998,173.710007,175.169998,150.830795,164230500
2014-02-06,175.580002,177.479996,175.220001,177.479996,152.819794,132877600
2014-02-07,178.309998,179.869995,177.729996,179.679993,154.714111,170787200
2014-02-10,179.699997,180.070007,179.210007,180.009995,154.998322,92218800
2014-02-11,180.160004,182.440002,180.039993,181.979996,156.694611,117814100
2014-02-12,182.250000,182.830002,181.710007,182.070007,156.772064,94717700
2014-02-13,180.839996,183.199997,180.830002,183.009995,157.581436,100542200
2014-02-14,182.839996,184.360001,182.669998,184.020004,158.451141,96498400
2014-02-18,184.179993,184.490005,183.649994,184.240005,158.640533,80460900
